"variable","iteration","chain","mean"
"smoke","2","Chain 7",2.0377358490566
"cycle","2","Chain 7",NA
"stratum","2","Chain 7",NA
"psu","2","Chain 7",NA
"logweight","2","Chain 7",NA
"ra","3","Chain 7",NA
"asthma_aux","3","Chain 7",NA
"age1","3","Chain 7",NA
"age2","3","Chain 7",NA
"age3","3","Chain 7",NA
"sex","3","Chain 7",NA
"race","3","Chain 7",NA
"education","3","Chain 7",5
"pir","3","Chain 7",4.80697624652258
"smoke","3","Chain 7",1
"cycle","3","Chain 7",NA
"stratum","3","Chain 7",NA
"psu","3","Chain 7",NA
"logweight","3","Chain 7",NA
"ra","4","Chain 7",NA
"asthma_aux","4","Chain 7",NA
"age1","4","Chain 7",NA
"age2","4","Chain 7",NA
"age3","4","Chain 7",NA
"sex","4","Chain 7",NA
"race","4","Chain 7",NA
"education","4","Chain 7",5
"pir","4","Chain 7",0.772435266424147
"smoke","4","Chain 7",1
"cycle","4","Chain 7",NA
"stratum","4","Chain 7",NA
"psu","4","Chain 7",NA
"logweight","4","Chain 7",NA
"ra","5","Chain 7",NA
"asthma_aux","5","Chain 7",NA
"age1","5","Chain 7",NA
"age2","5","Chain 7",NA
"age3","5","Chain 7",NA
"sex","5","Chain 7",NA
"race","5","Chain 7",NA
"education","5","Chain 7",5
"pir","5","Chain 7",0.773858335116636
"smoke","5","Chain 7",1.92452830188679
"cycle","5","Chain 7",NA
"stratum","5","Chain 7",NA
"psu","5","Chain 7",NA
"logweight","5","Chain 7",NA
"ra","6","Chain 7",NA
"asthma_aux","6","Chain 7",NA
"age1","6","Chain 7",NA
"age2","6","Chain 7",NA
"age3","6","Chain 7",NA
"sex","6","Chain 7",NA
"race","6","Chain 7",NA
"education","6","Chain 7",1.27906976744186
"pir","6","Chain 7",0.773233468863693
"smoke","6","Chain 7",1
"cycle","6","Chain 7",NA
"stratum","6","Chain 7",NA
"psu","6","Chain 7",NA
"logweight","6","Chain 7",NA
"ra","7","Chain 7",NA
"asthma_aux","7","Chain 7",NA
"age1","7","Chain 7",NA
"age2","7","Chain 7",NA
"age3","7","Chain 7",NA
"sex","7","Chain 7",NA
"race","7","Chain 7",NA
"education","7","Chain 7",5
"pir","7","Chain 7",4.79606248662529
"smoke","7","Chain 7",1.79245283018868
"cycle","7","Chain 7",NA
"stratum","7","Chain 7",NA
"psu","7","Chain 7",NA
"logweight","7","Chain 7",NA
"ra","8","Chain 7",NA
"asthma_aux","8","Chain 7",NA
"age1","8","Chain 7",NA
"age2","8","Chain 7",NA
"age3","8","Chain 7",NA
"sex","8","Chain 7",NA
"race","8","Chain 7",NA
"education","8","Chain 7",1.90697674418605
"pir","8","Chain 7",0.776171624224276
"smoke","8","Chain 7",1
"cycle","8","Chain 7",NA
"stratum","8","Chain 7",NA
"psu","8","Chain 7",NA
"logweight","8","Chain 7",NA
"ra","9","Chain 7",NA
"asthma_aux","9","Chain 7",NA
"age1","9","Chain 7",NA
"age2","9","Chain 7",NA
"age3","9","Chain 7",NA
"sex","9","Chain 7",NA
"race","9","Chain 7",NA
"education","9","Chain 7",1.01162790697674
"pir","9","Chain 7",4.81296811470148
"smoke","9","Chain 7",1
"cycle","9","Chain 7",NA
"stratum","9","Chain 7",NA
"psu","9","Chain 7",NA
"logweight","9","Chain 7",NA
"ra","10","Chain 7",NA
"asthma_aux","10","Chain 7",NA
"age1","10","Chain 7",NA
"age2","10","Chain 7",NA
"age3","10","Chain 7",NA
"sex","10","Chain 7",NA
"race","10","Chain 7",NA
"education","10","Chain 7",2.24418604651163
"pir","10","Chain 7",0.783646479777455
"smoke","10","Chain 7",1
"cycle","10","Chain 7",NA
"stratum","10","Chain 7",NA
"psu","10","Chain 7",NA
"logweight","10","Chain 7",NA
"ra","1","Chain 8",NA
"asthma_aux","1","Chain 8",NA
"age1","1","Chain 8",NA
"age2","1","Chain 8",NA
"age3","1","Chain 8",NA
"sex","1","Chain 8",NA
"race","1","Chain 8",NA
"education","1","Chain 8",1.43023255813953
"pir","1","Chain 8",4.79563449604109
"smoke","1","Chain 8",1
"cycle","1","Chain 8",NA
"stratum","1","Chain 8",NA
"psu","1","Chain 8",NA
"logweight","1","Chain 8",NA
"ra","2","Chain 8",NA
"asthma_aux","2","Chain 8",NA
"age1","2","Chain 8",NA
"age2","2","Chain 8",NA
"age3","2","Chain 8",NA
"sex","2","Chain 8",NA
"race","2","Chain 8",NA
"education","2","Chain 8",4.82558139534884
"pir","2","Chain 8",1.44571581425208
"smoke","2","Chain 8",1
"cycle","2","Chain 8",NA
"stratum","2","Chain 8",NA
"psu","2","Chain 8",NA
"logweight","2","Chain 8",NA
"ra","3","Chain 8",NA
"asthma_aux","3","Chain 8",NA
"age1","3","Chain 8",NA
"age2","3","Chain 8",NA
"age3","3","Chain 8",NA
"sex","3","Chain 8",NA
"race","3","Chain 8",NA
"education","3","Chain 8",1
"pir","3","Chain 8",1.23202225551037
"smoke","3","Chain 8",1.9622641509434
"cycle","3","Chain 8",NA
"stratum","3","Chain 8",NA
"psu","3","Chain 8",NA
"logweight","3","Chain 8",NA
"ra","4","Chain 8",NA
"asthma_aux","4","Chain 8",NA
"age1","4","Chain 8",NA
"age2","4","Chain 8",NA
"age3","4","Chain 8",NA
"sex","4","Chain 8",NA
"race","4","Chain 8",NA
"education","4","Chain 8",1.22093023255814
"pir","4","Chain 8",4.79841643483843
"smoke","4","Chain 8",1.77358490566038
"cycle","4","Chain 8",NA
"stratum","4","Chain 8",NA
"psu","4","Chain 8",NA
"logweight","4","Chain 8",NA
"ra","5","Chain 8",NA
"asthma_aux","5","Chain 8",NA
"age1","5","Chain 8",NA
"age2","5","Chain 8",NA
"age3","5","Chain 8",NA
"sex","5","Chain 8",NA
"race","5","Chain 8",NA
"education","5","Chain 8",1.88372093023256
"pir","5","Chain 8",0.783582281189821
"smoke","5","Chain 8",1
"cycle","5","Chain 8",NA
"stratum","5","Chain 8",NA
"psu","5","Chain 8",NA
"logweight","5","Chain 8",NA
"ra","6","Chain 8",NA
"asthma_aux","6","Chain 8",NA
"age1","6","Chain 8",NA
"age2","6","Chain 8",NA
"age3","6","Chain 8",NA
"sex","6","Chain 8",NA
"race","6","Chain 8",NA
"education","6","Chain 8",1.19767441860465
"pir","6","Chain 8",0.771468007703838
"smoke","6","Chain 8",1
"cycle","6","Chain 8",NA
"stratum","6","Chain 8",NA
"psu","6","Chain 8",NA
"logweight","6","Chain 8",NA
"ra","7","Chain 8",NA
"asthma_aux","7","Chain 8",NA
"age1","7","Chain 8",NA
"age2","7","Chain 8",NA
"age3","7","Chain 8",NA
"sex","7","Chain 8",NA
"race","7","Chain 8",NA
"education","7","Chain 8",1.12790697674419
"pir","7","Chain 8",4.75886154504601
"smoke","7","Chain 8",1
"cycle","7","Chain 8",NA
"stratum","7","Chain 8",NA
"psu","7","Chain 8",NA
"logweight","7","Chain 8",NA
"ra","8","Chain 8",NA
"asthma_aux","8","Chain 8",NA
"age1","8","Chain 8",NA
"age2","8","Chain 8",NA
"age3","8","Chain 8",NA
"sex","8","Chain 8",NA
"race","8","Chain 8",NA
"education","8","Chain 8",5
"pir","8","Chain 8",0.762090734003859
"smoke","8","Chain 8",1.92452830188679
"cycle","8","Chain 8",NA
"stratum","8","Chain 8",NA
"psu","8","Chain 8",NA
"logweight","8","Chain 8",NA
"ra","9","Chain 8",NA
"asthma_aux","9","Chain 8",NA
"age1","9","Chain 8",NA
"age2","9","Chain 8",NA
"age3","9","Chain 8",NA
"sex","9","Chain 8",NA
"race","9","Chain 8",NA
"education","9","Chain 8",1
"pir","9","Chain 8",4.7907126043227
"smoke","9","Chain 8",1.86792452830189
"cycle","9","Chain 8",NA
"stratum","9","Chain 8",NA
"psu","9","Chain 8",NA
"logweight","9","Chain 8",NA
"ra","10","Chain 8",NA
"asthma_aux","10","Chain 8",NA
"age1","10","Chain 8",NA
"age2","10","Chain 8",NA
"age3","10","Chain 8",NA
"sex","10","Chain 8",NA
"race","10","Chain 8",NA
"education","10","Chain 8",5
"pir","10","Chain 8",4.8026963406805
"smoke","10","Chain 8",1
"cycle","10","Chain 8",NA
"stratum","10","Chain 8",NA
"psu","10","Chain 8",NA
"logweight","10","Chain 8",NA
"ra","1","Chain 9",NA
"asthma_aux","1","Chain 9",NA
"age1","1","Chain 9",NA
"age2","1","Chain 9",NA
"age3","1","Chain 9",NA
"sex","1","Chain 9",NA
"race","1","Chain 9",NA
"education","1","Chain 9",4.1046511627907
"pir","1","Chain 9",1.96560453670018
"smoke","1","Chain 9",1
"cycle","1","Chain 9",NA
"stratum","1","Chain 9",NA
"psu","1","Chain 9",NA
"logweight","1","Chain 9",NA
"ra","2","Chain 9",NA
"asthma_aux","2","Chain 9",NA
"age1","2","Chain 9",NA
"age2","2","Chain 9",NA
"age3","2","Chain 9",NA
"sex","2","Chain 9",NA
"race","2","Chain 9",NA
"education","2","Chain 9",1
"pir","2","Chain 9",3.39318210999357
"smoke","2","Chain 9",1.79245283018868
"cycle","2","Chain 9",NA
"stratum","2","Chain 9",NA
"psu","2","Chain 9",NA
"logweight","2","Chain 9",NA
"ra","3","Chain 9",NA
"asthma_aux","3","Chain 9",NA
"age1","3","Chain 9",NA
"age2","3","Chain 9",NA
"age3","3","Chain 9",NA
"sex","3","Chain 9",NA
"race","3","Chain 9",NA
"education","3","Chain 9",1.22093023255814
"pir","3","Chain 9",0.770539268136109
"smoke","3","Chain 9",1.16981132075472
"cycle","3","Chain 9",NA
"stratum","3","Chain 9",NA
"psu","3","Chain 9",NA
"logweight","3","Chain 9",NA
"ra","4","Chain 9",NA
"asthma_aux","4","Chain 9",NA
"age1","4","Chain 9",NA
"age2","4","Chain 9",NA
"age3","4","Chain 9",NA
"sex","4","Chain 9",NA
"race","4","Chain 9",NA
"education","4","Chain 9",3.18604651162791
"pir","4","Chain 9",0.783398245238614
"smoke","4","Chain 9",2.24528301886792
"cycle","4","Chain 9",NA
"stratum","4","Chain 9",NA
"psu","4","Chain 9",NA
"logweight","4","Chain 9",NA
"ra","5","Chain 9",NA
"asthma_aux","5","Chain 9",NA
"age1","5","Chain 9",NA
"age2","5","Chain 9",NA
"age3","5","Chain 9",NA
"sex","5","Chain 9",NA
"race","5","Chain 9",NA
"education","5","Chain 9",1
"pir","5","Chain 9",0.773646479777455
"smoke","5","Chain 9",2.05660377358491
"cycle","5","Chain 9",NA
"stratum","5","Chain 9",NA
"psu","5","Chain 9",NA
"logweight","5","Chain 9",NA
"ra","6","Chain 9",NA
"asthma_aux","6","Chain 9",NA
"age1","6","Chain 9",NA
"age2","6","Chain 9",NA
"age3","6","Chain 9",NA
"sex","6","Chain 9",NA
"race","6","Chain 9",NA
"education","6","Chain 9",1
"pir","6","Chain 9",4.7967044725016
"smoke","6","Chain 9",1.58490566037736
"cycle","6","Chain 9",NA
"stratum","6","Chain 9",NA
"psu","6","Chain 9",NA
"logweight","6","Chain 9",NA
"ra","7","Chain 9",NA
"asthma_aux","7","Chain 9",NA
"age1","7","Chain 9",NA
"age2","7","Chain 9",NA
"age3","7","Chain 9",NA
"sex","7","Chain 9",NA
"race","7","Chain 9",NA
"education","7","Chain 9",1.93023255813953
"pir","7","Chain 9",4.7908238818746
"smoke","7","Chain 9",1.79245283018868
"cycle","7","Chain 9",NA
"stratum","7","Chain 9",NA
"psu","7","Chain 9",NA
"logweight","7","Chain 9",NA
"ra","8","Chain 9",NA
"asthma_aux","8","Chain 9",NA
"age1","8","Chain 9",NA
"age2","8","Chain 9",NA
"age3","8","Chain 9",NA
"sex","8","Chain 9",NA
"race","8","Chain 9",NA
"education","8","Chain 9",5
"pir","8","Chain 9",0.774697196661681
"smoke","8","Chain 9",1
"cycle","8","Chain 9",NA
"stratum","8","Chain 9",NA
"psu","8","Chain 9",NA
"logweight","8","Chain 9",NA
"ra","9","Chain 9",NA
"asthma_aux","9","Chain 9",NA
"age1","9","Chain 9",NA
"age2","9","Chain 9",NA
"age3","9","Chain 9",NA
"sex","9","Chain 9",NA
"race","9","Chain 9",NA
"education","9","Chain 9",1.22093023255814
"pir","9","Chain 9",4.80783222769099
"smoke","9","Chain 9",1
"cycle","9","Chain 9",NA
"stratum","9","Chain 9",NA
"psu","9","Chain 9",NA
"logweight","9","Chain 9",NA
"ra","10","Chain 9",NA
"asthma_aux","10","Chain 9",NA
"age1","10","Chain 9",NA
"age2","10","Chain 9",NA
"age3","10","Chain 9",NA
"sex","10","Chain 9",NA
"race","10","Chain 9",NA
"education","10","Chain 9",1.67441860465116
"pir","10","Chain 9",0.802304729295966
"smoke","10","Chain 9",1
"cycle","10","Chain 9",NA
"stratum","10","Chain 9",NA
"psu","10","Chain 9",NA
"logweight","10","Chain 9",NA
"ra","1","Chain 10",NA
"asthma_aux","1","Chain 10",NA
"age1","1","Chain 10",NA
"age2","1","Chain 10",NA
"age3","1","Chain 10",NA
"sex","1","Chain 10",NA
"race","1","Chain 10",NA
"education","1","Chain 10",1.76744186046512
"pir","1","Chain 10",4.79221057136743
"smoke","1","Chain 10",1
"cycle","1","Chain 10",NA
"stratum","1","Chain 10",NA
"psu","1","Chain 10",NA
"logweight","1","Chain 10",NA
"ra","2","Chain 10",NA
"asthma_aux","2","Chain 10",NA
"age1","2","Chain 10",NA
"age2","2","Chain 10",NA
"age3","2","Chain 10",NA
"sex","2","Chain 10",NA
"race","2","Chain 10",NA
"education","2","Chain 10",3.91860465116279
"pir","2","Chain 10",4.069593408945
"smoke","2","Chain 10",2
"cycle","2","Chain 10",NA
"stratum","2","Chain 10",NA
"psu","2","Chain 10",NA
"logweight","2","Chain 10",NA
"ra","3","Chain 10",NA
"asthma_aux","3","Chain 10",NA
"age1","3","Chain 10",NA
"age2","3","Chain 10",NA
"age3","3","Chain 10",NA
"sex","3","Chain 10",NA
"race","3","Chain 10",NA
"education","3","Chain 10",3.05813953488372
"pir","3","Chain 10",0.776368499893012
"smoke","3","Chain 10",2
"cycle","3","Chain 10",NA
"stratum","3","Chain 10",NA
"psu","3","Chain 10",NA
"logweight","3","Chain 10",NA
"ra","4","Chain 10",NA
"asthma_aux","4","Chain 10",NA
"age1","4","Chain 10",NA
"age2","4","Chain 10",NA
"age3","4","Chain 10",NA
"sex","4","Chain 10",NA
"race","4","Chain 10",NA
"education","4","Chain 10",2.03488372093023
"pir","4","Chain 10",0.770605606676662
"smoke","4","Chain 10",1
"cycle","4","Chain 10",NA
"stratum","4","Chain 10",NA
"psu","4","Chain 10",NA
"logweight","4","Chain 10",NA
"ra","5","Chain 10",NA
"asthma_aux","5","Chain 10",NA
"age1","5","Chain 10",NA
"age2","5","Chain 10",NA
"age3","5","Chain 10",NA
"sex","5","Chain 10",NA
"race","5","Chain 10",NA
"education","5","Chain 10",5
"pir","5","Chain 10",0.781082816178056
"smoke","5","Chain 10",1
"cycle","5","Chain 10",NA
"stratum","5","Chain 10",NA
"psu","5","Chain 10",NA
"logweight","5","Chain 10",NA
"ra","6","Chain 10",NA
"asthma_aux","6","Chain 10",NA
"age1","6","Chain 10",NA
"age2","6","Chain 10",NA
"age3","6","Chain 10",NA
"sex","6","Chain 10",NA
"race","6","Chain 10",NA
"education","6","Chain 10",5
"pir","6","Chain 10",4.72811684142949
"smoke","6","Chain 10",1.50943396226415
"cycle","6","Chain 10",NA
"stratum","6","Chain 10",NA
"psu","6","Chain 10",NA
"logweight","6","Chain 10",NA
"ra","7","Chain 10",NA
"asthma_aux","7","Chain 10",NA
"age1","7","Chain 10",NA
"age2","7","Chain 10",NA
"age3","7","Chain 10",NA
"sex","7","Chain 10",NA
"race","7","Chain 10",NA
"education","7","Chain 10",2.26744186046512
"pir","7","Chain 10",0.768628290177626
"smoke","7","Chain 10",1
"cycle","7","Chain 10",NA
"stratum","7","Chain 10",NA
"psu","7","Chain 10",NA
"logweight","7","Chain 10",NA
"ra","8","Chain 10",NA
"asthma_aux","8","Chain 10",NA
"age1","8","Chain 10",NA
"age2","8","Chain 10",NA
"age3","8","Chain 10",NA
"sex","8","Chain 10",NA
"race","8","Chain 10",NA
"education","8","Chain 10",5
"pir","8","Chain 10",0.77115985448321
"smoke","8","Chain 10",1
"cycle","8","Chain 10",NA
"stratum","8","Chain 10",NA
"psu","8","Chain 10",NA
"logweight","8","Chain 10",NA
"ra","9","Chain 10",NA
"asthma_aux","9","Chain 10",NA
"age1","9","Chain 10",NA
"age2","9","Chain 10",NA
"age3","9","Chain 10",NA
"sex","9","Chain 10",NA
"race","9","Chain 10",NA
"education","9","Chain 10",5
"pir","9","Chain 10",4.80184035951209
"smoke","9","Chain 10",1.83018867924528
"cycle","9","Chain 10",NA
"stratum","9","Chain 10",NA
"psu","9","Chain 10",NA
"logweight","9","Chain 10",NA
"ra","10","Chain 10",NA
"asthma_aux","10","Chain 10",NA
"age1","10","Chain 10",NA
"age2","10","Chain 10",NA
"age3","10","Chain 10",NA
"sex","10","Chain 10",NA
"race","10","Chain 10",NA
"education","10","Chain 10",5
"pir","10","Chain 10",4.26760325272844
"smoke","10","Chain 10",1.60377358490566
"cycle","10","Chain 10",NA
"stratum","10","Chain 10",NA
"psu","10","Chain 10",NA
"logweight","10","Chain 10",NA
"ra","1","Chain 11",NA
"asthma_aux","1","Chain 11",NA
"age1","1","Chain 11",NA
"age2","1","Chain 11",NA
"age3","1","Chain 11",NA
"sex","1","Chain 11",NA
"race","1","Chain 11",NA
"education","1","Chain 11",2.32558139534884
"pir","1","Chain 11",0.912296169484278
"smoke","1","Chain 11",2.15094339622642
"cycle","1","Chain 11",NA
"stratum","1","Chain 11",NA
"psu","1","Chain 11",NA
"logweight","1","Chain 11",NA
"ra","2","Chain 11",NA
"asthma_aux","2","Chain 11",NA
"age1","2","Chain 11",NA
"age2","2","Chain 11",NA
"age3","2","Chain 11",NA
"sex","2","Chain 11",NA
"race","2","Chain 11",NA
"education","2","Chain 11",1
"pir","2","Chain 11",4.79285255724374
"smoke","2","Chain 11",1.86792452830189
"cycle","2","Chain 11",NA
"stratum","2","Chain 11",NA
"psu","2","Chain 11",NA
"logweight","2","Chain 11",NA
"ra","3","Chain 11",NA
"asthma_aux","3","Chain 11",NA
"age1","3","Chain 11",NA
"age2","3","Chain 11",NA
"age3","3","Chain 11",NA
"sex","3","Chain 11",NA
"race","3","Chain 11",NA
"education","3","Chain 11",2.80232558139535
"pir","3","Chain 11",4.73784506740852
"smoke","3","Chain 11",1
"cycle","3","Chain 11",NA
"stratum","3","Chain 11",NA
"psu","3","Chain 11",NA
"logweight","3","Chain 11",NA
"ra","4","Chain 11",NA
"asthma_aux","4","Chain 11",NA
"age1","4","Chain 11",NA
"age2","4","Chain 11",NA
"age3","4","Chain 11",NA
"sex","4","Chain 11",NA
"race","4","Chain 11",NA
"education","4","Chain 11",5
"pir","4","Chain 11",0.772749839503541
"smoke","4","Chain 11",1
"cycle","4","Chain 11",NA
"stratum","4","Chain 11",NA
"psu","4","Chain 11",NA
"logweight","4","Chain 11",NA
"ra","5","Chain 11",NA
"asthma_aux","5","Chain 11",NA
"age1","5","Chain 11",NA
"age2","5","Chain 11",NA
"age3","5","Chain 11",NA
"sex","5","Chain 11",NA
"race","5","Chain 11",NA
"education","5","Chain 11",3.22093023255814
"pir","5","Chain 11",4.03092017975605
"smoke","5","Chain 11",1
"cycle","5","Chain 11",NA
"stratum","5","Chain 11",NA
"psu","5","Chain 11",NA
"logweight","5","Chain 11",NA
"ra","6","Chain 11",NA
"asthma_aux","6","Chain 11",NA
"age1","6","Chain 11",NA
"age2","6","Chain 11",NA
"age3","6","Chain 11",NA
"sex","6","Chain 11",NA
"race","6","Chain 11",NA
"education","6","Chain 11",4.65116279069767
"pir","6","Chain 11",4.8024823453884
"smoke","6","Chain 11",1.35849056603774
"cycle","6","Chain 11",NA
"stratum","6","Chain 11",NA
"psu","6","Chain 11",NA
"logweight","6","Chain 11",NA
"ra","7","Chain 11",NA
"asthma_aux","7","Chain 11",NA
"age1","7","Chain 11",NA
"age2","7","Chain 11",NA
"age3","7","Chain 11",NA
"sex","7","Chain 11",NA
"race","7","Chain 11",NA
"education","7","Chain 11",4.87209302325581
"pir","7","Chain 11",0.771322490905209
"smoke","7","Chain 11",1
"cycle","7","Chain 11",NA
"stratum","7","Chain 11",NA
"psu","7","Chain 11",NA
"logweight","7","Chain 11",NA
"ra","8","Chain 11",NA
"asthma_aux","8","Chain 11",NA
"age1","8","Chain 11",NA
"age2","8","Chain 11",NA
"age3","8","Chain 11",NA
"sex","8","Chain 11",NA
"race","8","Chain 11",NA
"education","8","Chain 11",1.18604651162791
"pir","8","Chain 11",4.79820243954633
"smoke","8","Chain 11",1.66037735849057
"cycle","8","Chain 11",NA
"stratum","8","Chain 11",NA
"psu","8","Chain 11",NA
"logweight","8","Chain 11",NA
"ra","9","Chain 11",NA
"asthma_aux","9","Chain 11",NA
"age1","9","Chain 11",NA
"age2","9","Chain 11",NA
"age3","9","Chain 11",NA
"sex","9","Chain 11",NA
"race","9","Chain 11",NA
"education","9","Chain 11",2.02325581395349
"pir","9","Chain 11",4.80462229830944
"smoke","9","Chain 11",1.81132075471698
"cycle","9","Chain 11",NA
"stratum","9","Chain 11",NA
"psu","9","Chain 11",NA
"logweight","9","Chain 11",NA
"ra","10","Chain 11",NA
"asthma_aux","10","Chain 11",NA
"age1","10","Chain 11",NA
"age2","10","Chain 11",NA
"age3","10","Chain 11",NA
"sex","10","Chain 11",NA
"race","10","Chain 11",NA
"education","10","Chain 11",2.04651162790698
"pir","10","Chain 11",0.785212925315653
"smoke","10","Chain 11",1.9622641509434
"cycle","10","Chain 11",NA
"stratum","10","Chain 11",NA
"psu","10","Chain 11",NA
"logweight","10","Chain 11",NA
"ra","1","Chain 12",NA
"asthma_aux","1","Chain 12",NA
"age1","1","Chain 12",NA
"age2","1","Chain 12",NA
"age3","1","Chain 12",NA
"sex","1","Chain 12",NA
"race","1","Chain 12",NA
"education","1","Chain 12",5
"pir","1","Chain 12",4.79713246308581
"smoke","1","Chain 12",1.62264150943396
"cycle","1","Chain 12",NA
"stratum","1","Chain 12",NA
"psu","1","Chain 12",NA
"logweight","1","Chain 12",NA
"ra","2","Chain 12",NA
"asthma_aux","2","Chain 12",NA
"age1","2","Chain 12",NA
"age2","2","Chain 12",NA
"age3","2","Chain 12",NA
"sex","2","Chain 12",NA
"race","2","Chain 12",NA
"education","2","Chain 12",5
"pir","2","Chain 12",0.756152364647988
"smoke","2","Chain 12",2.16981132075472
"cycle","2","Chain 12",NA
"stratum","2","Chain 12",NA
"psu","2","Chain 12",NA
"logweight","2","Chain 12",NA
"ra","3","Chain 12",NA
"asthma_aux","3","Chain 12",NA
"age1","3","Chain 12",NA
"age2","3","Chain 12",NA
"age3","3","Chain 12",NA
"sex","3","Chain 12",NA
"race","3","Chain 12",NA
"education","3","Chain 12",5
"pir","3","Chain 12",4.80483629360154
"smoke","3","Chain 12",1.90566037735849
"cycle","3","Chain 12",NA
"stratum","3","Chain 12",NA
"psu","3","Chain 12",NA
"logweight","3","Chain 12",NA
"ra","4","Chain 12",NA
"asthma_aux","4","Chain 12",NA
"age1","4","Chain 12",NA
"age2","4","Chain 12",NA
"age3","4","Chain 12",NA
"sex","4","Chain 12",NA
"race","4","Chain 12",NA
"education","4","Chain 12",2.1046511627907
"pir","4","Chain 12",4.79927241600685
"smoke","4","Chain 12",1
"cycle","4","Chain 12",NA
"stratum","4","Chain 12",NA
"psu","4","Chain 12",NA
"logweight","4","Chain 12",NA
"ra","5","Chain 12",NA
"asthma_aux","5","Chain 12",NA
"age1","5","Chain 12",NA
"age2","5","Chain 12",NA
"age3","5","Chain 12",NA
"sex","5","Chain 12",NA
"race","5","Chain 12",NA
"education","5","Chain 12",5
"pir","5","Chain 12",4.79563449604109
"smoke","5","Chain 12",1.73584905660377
"cycle","5","Chain 12",NA
"stratum","5","Chain 12",NA
"psu","5","Chain 12",NA
"logweight","5","Chain 12",NA
"ra","6","Chain 12",NA
"asthma_aux","6","Chain 12",NA
"age1","6","Chain 12",NA
"age2","6","Chain 12",NA
"age3","6","Chain 12",NA
"sex","6","Chain 12",NA
"race","6","Chain 12",NA
"education","6","Chain 12",2
"pir","6","Chain 12",4.80676225123047
"smoke","6","Chain 12",1.9811320754717
"cycle","6","Chain 12",NA
"stratum","6","Chain 12",NA
"psu","6","Chain 12",NA
"logweight","6","Chain 12",NA
"ra","7","Chain 12",NA
"asthma_aux","7","Chain 12",NA
"age1","7","Chain 12",NA
"age2","7","Chain 12",NA
"age3","7","Chain 12",NA
"sex","7","Chain 12",NA
"race","7","Chain 12",NA
"education","7","Chain 12",2.05813953488372
"pir","7","Chain 12",0.768679649047729
"smoke","7","Chain 12",2.07547169811321
"cycle","7","Chain 12",NA
"stratum","7","Chain 12",NA
"psu","7","Chain 12",NA
"logweight","7","Chain 12",NA
"ra","8","Chain 12",NA
"asthma_aux","8","Chain 12",NA
"age1","8","Chain 12",NA
"age2","8","Chain 12",NA
"age3","8","Chain 12",NA
"sex","8","Chain 12",NA
"race","8","Chain 12",NA
"education","8","Chain 12",5
"pir","8","Chain 12",4.79927241600685
"smoke","8","Chain 12",2.0377358490566
"cycle","8","Chain 12",NA
"stratum","8","Chain 12",NA
"psu","8","Chain 12",NA
"logweight","8","Chain 12",NA
"ra","9","Chain 12",NA
"asthma_aux","9","Chain 12",NA
"age1","9","Chain 12",NA
"age2","9","Chain 12",NA
"age3","9","Chain 12",NA
"sex","9","Chain 12",NA
"race","9","Chain 12",NA
"education","9","Chain 12",1.87209302325581
"pir","9","Chain 12",0.760898780226844
"smoke","9","Chain 12",1
"cycle","9","Chain 12",NA
"stratum","9","Chain 12",NA
"psu","9","Chain 12",NA
"logweight","9","Chain 12",NA
"ra","10","Chain 12",NA
"asthma_aux","10","Chain 12",NA
"age1","10","Chain 12",NA
"age2","10","Chain 12",NA
"age3","10","Chain 12",NA
"sex","10","Chain 12",NA
"race","10","Chain 12",NA
"education","10","Chain 12",5
"pir","10","Chain 12",4.03415364861972
"smoke","10","Chain 12",1.13207547169811
"cycle","10","Chain 12",NA
"stratum","10","Chain 12",NA
"psu","10","Chain 12",NA
"logweight","10","Chain 12",NA
"ra","1","Chain 13",NA
"asthma_aux","1","Chain 13",NA
"age1","1","Chain 13",NA
"age2","1","Chain 13",NA
"age3","1","Chain 13",NA
"sex","1","Chain 13",NA
"race","1","Chain 13",NA
"education","1","Chain 13",1.17441860465116
"pir","1","Chain 13",4.79007061844639
"smoke","1","Chain 13",1.83018867924528
"cycle","1","Chain 13",NA
"stratum","1","Chain 13",NA
"psu","1","Chain 13",NA
"logweight","1","Chain 13",NA
"ra","2","Chain 13",NA
"asthma_aux","2","Chain 13",NA
"age1","2","Chain 13",NA
"age2","2","Chain 13",NA
"age3","2","Chain 13",NA
"sex","2","Chain 13",NA
"race","2","Chain 13",NA
"education","2","Chain 13",5
"pir","2","Chain 13",4.79734645837792
"smoke","2","Chain 13",1.75471698113208
"cycle","2","Chain 13",NA
"stratum","2","Chain 13",NA
"psu","2","Chain 13",NA
"logweight","2","Chain 13",NA
"ra","3","Chain 13",NA
"asthma_aux","3","Chain 13",NA
"age1","3","Chain 13",NA
"age2","3","Chain 13",NA
"age3","3","Chain 13",NA
"sex","3","Chain 13",NA
"race","3","Chain 13",NA
"education","3","Chain 13",1.86046511627907
"pir","3","Chain 13",0.771226193023762
"smoke","3","Chain 13",1
"cycle","3","Chain 13",NA
"stratum","3","Chain 13",NA
"psu","3","Chain 13",NA
"logweight","3","Chain 13",NA
"ra","4","Chain 13",NA
"asthma_aux","4","Chain 13",NA
"age1","4","Chain 13",NA
"age2","4","Chain 13",NA
"age3","4","Chain 13",NA
"sex","4","Chain 13",NA
"race","4","Chain 13",NA
"education","4","Chain 13",1
"pir","4","Chain 13",0.769368713888305
