"variable","source","n","mean","sd","min","max"
"education","observed",49932,3.34917487783392,1.28836072018533,1,5
"education","imputed",2580,3.08333333333334,1.90172299310652,1,5
"pir","observed",45345,2.54832462233984,1.62611785299324,0,5
"pir","imputed",140190,2.39226735145102,2.01151107890992,0,5
"smoke","observed",49965,0.656339437606316,0.802186644191996,0,2
"smoke","imputed",1590,0.41132075471698,0.66703189270635,0,2
