cycle,module,variable,code,expected,actual,pass_check
2015-2016,DEMO,WTMEC2YR,3419.259085 to 242386.66077,9544,9544,True
2015-2016,DEMO,WTMEC2YR,0,427,427,True
2015-2016,DEMO,WTMEC2YR,.,0,0,True
2015-2016,DEMO,SDMVPSU,1 to 2,9971,9971,True
2015-2016,DEMO,SDMVPSU,.,0,0,True
2015-2016,DEMO,SDMVSTRA,119 to 133,9971,9971,True
2015-2016,DEMO,SDMVSTRA,.,0,0,True
2015-2016,DEMO,INDFMPIR,0 to 4.99,7699,7699,True
2015-2016,DEMO,INDFMPIR,5,1220,1220,True
2015-2016,DEMO,INDFMPIR,.,1052,1052,True
2015-2016,MCQ,MCQ010,1,1443,1443,True
2015-2016,MCQ,MCQ010,2,8121,8121,True
2015-2016,MCQ,MCQ010,7,1,1,True
2015-2016,MCQ,MCQ010,9,10,10,True
2015-2016,MCQ,MCQ010,.,0,0,True
2015-2016,MCQ,MCQ035,1,877,877,True
2015-2016,MCQ,MCQ035,2,546,546,True
2015-2016,MCQ,MCQ035,7,0,0,True
2015-2016,MCQ,MCQ035,9,20,20,True
2015-2016,MCQ,MCQ035,.,8132,8132,True
2015-2016,MCQ,MCQ040,1,422,422,True
2015-2016,MCQ,MCQ040,2,454,454,True
2015-2016,MCQ,MCQ040,7,0,0,True
2015-2016,MCQ,MCQ040,9,1,1,True
2015-2016,MCQ,MCQ040,.,8698,8698,True
2015-2016,MCQ,MCQ050,1,170,170,True
2015-2016,MCQ,MCQ050,2,707,707,True
2015-2016,MCQ,MCQ050,7,0,0,True
2015-2016,MCQ,MCQ050,9,0,0,True
2015-2016,MCQ,MCQ050,.,8698,8698,True
2015-2016,MCQ,MCQ160A,1,1470,1470,True
2015-2016,MCQ,MCQ160A,2,4238,4238,True
2015-2016,MCQ,MCQ160A,7,0,0,True
2015-2016,MCQ,MCQ160A,9,11,11,True
2015-2016,MCQ,MCQ160A,.,3856,3856,True
2015-2016,MCQ,MCQ195,1,616,616,True
2015-2016,MCQ,MCQ195,2,292,292,True
2015-2016,MCQ,MCQ195,3,18,18,True
2015-2016,MCQ,MCQ195,4,142,142,True
2015-2016,MCQ,MCQ195,7,0,0,True
2015-2016,MCQ,MCQ195,9,402,402,True
2015-2016,MCQ,MCQ195,.,8105,8105,True
2015-2016,SMQ,SMQ020,1,2422,2422,True
2015-2016,SMQ,SMQ020,2,3559,3559,True
2015-2016,SMQ,SMQ020,7,2,2,True
2015-2016,SMQ,SMQ020,9,9,9,True
2015-2016,SMQ,SMQ020,.,1009,1009,True
2015-2016,SMQ,SMQ040,1,832,832,True
2015-2016,SMQ,SMQ040,2,268,268,True
2015-2016,SMQ,SMQ040,3,1322,1322,True
2015-2016,SMQ,SMQ040,7,0,0,True
2015-2016,SMQ,SMQ040,9,0,0,True
2015-2016,SMQ,SMQ040,.,4579,4579,True
2017-2018,DEMO,SDDSRVYR,10,9254,9254,True
2017-2018,DEMO,SDDSRVYR,.,0,0,True
2017-2018,DEMO,RIAGENDR,1,4557,4557,True
2017-2018,DEMO,RIAGENDR,2,4697,4697,True
2017-2018,DEMO,RIAGENDR,.,0,0,True
2017-2018,DEMO,RIDAGEYR,0 to 79,8827,8827,True
2017-2018,DEMO,RIDAGEYR,80,427,427,True
2017-2018,DEMO,RIDAGEYR,.,0,0,True
2017-2018,DEMO,RIDRETH1,1,1367,1367,True
2017-2018,DEMO,RIDRETH1,2,820,820,True
2017-2018,DEMO,RIDRETH1,3,3150,3150,True
2017-2018,DEMO,RIDRETH1,4,2115,2115,True
2017-2018,DEMO,RIDRETH1,5,1802,1802,True
2017-2018,DEMO,RIDRETH1,.,0,0,True
2017-2018,DEMO,DMDEDUC2,1,479,479,True
2017-2018,DEMO,DMDEDUC2,2,638,638,True
2017-2018,DEMO,DMDEDUC2,3,1325,1325,True
2017-2018,DEMO,DMDEDUC2,4,1778,1778,True
2017-2018,DEMO,DMDEDUC2,5,1336,1336,True
2017-2018,DEMO,DMDEDUC2,7,2,2,True
2017-2018,DEMO,DMDEDUC2,9,11,11,True
2017-2018,DEMO,DMDEDUC2,.,3685,3685,True
2017-2018,DEMO,WTINT2YR,2571.0687123 to 433085.00526,9254,9254,True
2017-2018,DEMO,WTINT2YR,.,0,0,True
2017-2018,DEMO,WTMEC2YR,2566.1838545 to 419762.83649,8704,8704,True
2017-2018,DEMO,WTMEC2YR,0,550,550,True
2017-2018,DEMO,WTMEC2YR,.,0,0,True
2017-2018,DEMO,SDMVPSU,1 to 2,9254,9254,True
2017-2018,DEMO,SDMVPSU,.,0,0,True
2017-2018,DEMO,SDMVSTRA,134 to 148,9254,9254,True
2017-2018,DEMO,SDMVSTRA,.,0,0,True
2017-2018,DEMO,INDFMPIR,0 to 4.98,6815,6815,True
2017-2018,DEMO,INDFMPIR,5,1208,1208,True
2017-2018,DEMO,INDFMPIR,.,1231,1231,True
2017-2018,MCQ,MCQ010,1,1325,1325,True
2017-2018,MCQ,MCQ010,2,7563,7563,True
2017-2018,MCQ,MCQ010,7,0,0,True
2017-2018,MCQ,MCQ010,9,9,9,True
2017-2018,MCQ,MCQ010,.,0,0,True
2017-2018,MCQ,MCQ035,1,825,825,True
2017-2018,MCQ,MCQ035,2,471,471,True
2017-2018,MCQ,MCQ035,7,1,1,True
2017-2018,MCQ,MCQ035,9,28,28,True
2017-2018,MCQ,MCQ035,.,7572,7572,True
2017-2018,MCQ,MCQ040,1,359,359,True
2017-2018,MCQ,MCQ040,2,463,463,True
2017-2018,MCQ,MCQ040,7,1,1,True
2017-2018,MCQ,MCQ040,9,2,2,True
2017-2018,MCQ,MCQ040,.,8072,8072,True
2017-2018,MCQ,MCQ050,1,167,167,True
2017-2018,MCQ,MCQ050,2,658,658,True
2017-2018,MCQ,MCQ050,7,0,0,True
2017-2018,MCQ,MCQ050,9,0,0,True
2017-2018,MCQ,MCQ050,.,8072,8072,True
2017-2018,MCQ,MCQ160A,1,1695,1695,True
2017-2018,MCQ,MCQ160A,2,3857,3857,True
2017-2018,MCQ,MCQ160A,7,0,0,True
2017-2018,MCQ,MCQ160A,9,17,17,True
2017-2018,MCQ,MCQ160A,.,3328,3328,True
2017-2018,MCQ,MCQ195,1,711,711,True
2017-2018,MCQ,MCQ195,2,337,337,True
2017-2018,MCQ,MCQ195,3,26,26,True
2017-2018,MCQ,MCQ195,4,175,175,True
2017-2018,MCQ,MCQ195,7,3,3,True
2017-2018,MCQ,MCQ195,9,443,443,True
2017-2018,MCQ,MCQ195,.,7202,7202,True
2017-2018,SMQ,SMQ020,1,2359,2359,True
2017-2018,SMQ,SMQ020,2,3497,3497,True
2017-2018,SMQ,SMQ020,7,0,0,True
2017-2018,SMQ,SMQ020,9,0,0,True
2017-2018,SMQ,SMQ020,.,868,868,True
2017-2018,SMQ,SMQ040,1,805,805,True
2017-2018,SMQ,SMQ040,2,216,216,True
2017-2018,SMQ,SMQ040,3,1338,1338,True
2017-2018,SMQ,SMQ040,7,0,0,True
2017-2018,SMQ,SMQ040,9,0,0,True
2017-2018,SMQ,SMQ040,.,4365,4365,True
