analysis,cycle,ra,outcome,variable,n,missing_n,missing_pct,weighted_missing_pct
ever20,2005,1,1,race,45,0,0.0,0.0
ever20,2005,1,1,education,45,0,0.0,0.0
ever20,2005,1,1,pir,45,3,6.666666666666667,7.958417914978772
ever20,2005,1,1,smoke,45,0,0.0,0.0
ever20,2007,0,0,age,4308,0,0.0,0.0
ever20,2007,0,0,sex,4308,0,0.0,0.0
ever20,2007,0,0,race,4308,0,0.0,0.0
ever20,2007,0,0,education,4308,4,0.09285051067780872,0.07462242346097347
ever20,2007,0,0,pir,4308,393,9.122562674094707,7.596747024793033
ever20,2007,0,0,smoke,4308,3,0.06963788300835655,0.032554419068350965
ever20,2007,0,1,age,609,0,0.0,0.0
ever20,2007,0,1,sex,609,0,0.0,0.0
ever20,2007,0,1,race,609,0,0.0,0.0
ever20,2007,0,1,education,609,0,0.0,0.0
ever20,2007,0,1,pir,609,58,9.523809523809524,8.176252602972514
ever20,2007,0,1,smoke,609,2,0.3284072249589491,0.28119446673317977
ever20,2007,1,0,age,278,0,0.0,0.0
ever20,2007,1,0,sex,278,0,0.0,0.0
ever20,2007,1,0,race,278,0,0.0,0.0
ever20,2007,1,0,education,278,0,0.0,0.0
ever20,2007,1,0,pir,278,22,7.913669064748201,6.387616018593561
ever20,2007,1,0,smoke,278,0,0.0,0.0
ever20,2007,1,1,age,67,0,0.0,0.0
ever20,2007,1,1,sex,67,0,0.0,0.0
ever20,2007,1,1,race,67,0,0.0,0.0
ever20,2007,1,1,education,67,0,0.0,0.0
ever20,2007,1,1,pir,67,5,7.462686567164178,3.076157279929419
ever20,2007,1,1,smoke,67,0,0.0,0.0
ever20,2009,0,0,age,4602,0,0.0,0.0
ever20,2009,0,0,sex,4602,0,0.0,0.0
ever20,2009,0,0,race,4602,0,0.0,0.0
ever20,2009,0,0,education,4602,13,0.2824858757062147,0.23895753508265877
ever20,2009,0,0,pir,4602,476,10.343328987396784,8.444657673582059
ever20,2009,0,0,smoke,4602,0,0.0,0.0
ever20,2009,0,1,age,670,0,0.0,0.0
ever20,2009,0,1,sex,670,0,0.0,0.0
ever20,2009,0,1,race,670,0,0.0,0.0
ever20,2009,0,1,education,670,1,0.1492537313432836,0.08229872909201445
ever20,2009,0,1,pir,670,49,7.313432835820896,5.220854207931428
ever20,2009,0,1,smoke,670,0,0.0,0.0
ever20,2009,1,0,age,256,0,0.0,0.0
ever20,2009,1,0,sex,256,0,0.0,0.0
ever20,2009,1,0,race,256,0,0.0,0.0
ever20,2009,1,0,education,256,0,0.0,0.0
ever20,2009,1,0,pir,256,18,7.03125,7.092999401802846
ever20,2009,1,0,smoke,256,0,0.0,0.0
ever20,2009,1,1,age,60,0,0.0,0.0
ever20,2009,1,1,sex,60,0,0.0,0.0
ever20,2009,1,1,race,60,0,0.0,0.0
ever20,2009,1,1,education,60,0,0.0,0.0
ever20,2009,1,1,pir,60,6,10.0,9.15689263448776
ever20,2009,1,1,smoke,60,0,0.0,0.0
ever20,2011,0,0,age,4203,0,0.0,0.0
ever20,2011,0,0,sex,4203,0,0.0,0.0
ever20,2011,0,0,race,4203,0,0.0,0.0
ever20,2011,0,0,education,4203,1,0.023792529145848205,0.007857591971939906
ever20,2011,0,0,pir,4203,367,8.731858196526291,6.430886751897774
ever20,2011,0,0,smoke,4203,7,0.16654770402093744,0.11166549824016077
ever20,2011,0,1,age,677,0,0.0,0.0
ever20,2011,0,1,sex,677,0,0.0,0.0
ever20,2011,0,1,race,677,0,0.0,0.0
ever20,2011,0,1,education,677,0,0.0,0.0
ever20,2011,0,1,pir,677,55,8.124076809453472,5.764924442569375
ever20,2011,0,1,smoke,677,0,0.0,0.0
ever20,2011,1,0,age,191,0,0.0,0.0
ever20,2011,1,0,sex,191,0,0.0,0.0
ever20,2011,1,0,race,191,0,0.0,0.0
ever20,2011,1,0,education,191,1,0.5235602094240838,0.15186230944307805
ever20,2011,1,0,pir,191,21,10.99476439790576,7.392866348627671
ever20,2011,1,0,smoke,191,0,0.0,0.0
ever20,2011,1,1,age,58,0,0.0,0.0
ever20,2011,1,1,sex,58,0,0.0,0.0
ever20,2011,1,1,race,58,0,0.0,0.0
ever20,2011,1,1,education,58,1,1.7241379310344827,0.6373538359126949
ever20,2011,1,1,pir,58,6,10.344827586206897,6.177087378930717
ever20,2011,1,1,smoke,58,0,0.0,0.0
ever20,2013,0,0,age,4373,0,0.0,0.0
ever20,2013,0,0,sex,4373,0,0.0,0.0
ever20,2013,0,0,race,4373,0,0.0,0.0
ever20,2013,0,0,education,4373,4,0.0914703864623828,0.07955619654741942
