"variable","source","n","mean","sd","min","max"
"education","observed",49932,3.34917487783392,1.28836072018533,1,5
"education","imputed",2580,2.92093023255814,1.35853822969257,1,5
"pir","observed",45345,2.54832462233984,1.62611785299324,0,5
"pir","imputed",140190,2.356387545474,1.59022185064717,0,5
"smoke","observed",49965,0.656339437606316,0.802186644191996,0,2
"smoke","imputed",1590,0.745283018867925,0.833472050706372,0,2
