"variable","summary_rhat","first_half_mean","last_half_mean","within_chain_sd"
"education",1.00596673558609,2.90031007751938,2.89496124031008,0.115007909735481
"pir",1.0046521905328,2.35959382266924,2.3553715528925,0.0198010629370929
"smoke",1.01662055642763,1.6896855345912,1.70415094339623,0.110651912949716
