"analysis","metric","estimate","lower","upper","log_or","std_error","df","p_value","m","missing_information","mc_error","mc_error_over_se"
"primary_MI","nonRA",0.0758251447073574,0.0718232648766364,0.0798270245380784,NA,0.00201995690681856,113.049908169569,1.15749739050094e-65,30,8.30827595649166e-06,1.04572312975007e-06,0.000517695761835377
"primary_MI","RA",0.144851571859422,0.123942102780075,0.16576104093877,NA,0.0105540516218713,113.005346487763,8.01200559521257e-26,30,0.000401853326301858,3.79989985332418e-05,0.00360041810431322
"primary_MI","difference",0.0690264271520651,0.0483266119608961,0.0897262423432341,NA,0.0104482253296416,113.00182736476,1.34458840233602e-09,30,0.000432881161002287,3.90432557974261e-05,0.0037368313340889
"ever20_MI","nonRA",0.132638276573032,0.12820173162213,0.137074821523933,NA,0.00224185248241511,126.044557539851,8.15116779762805e-94,30,9.86890078760039e-06,1.26491276841686e-06,0.000564226584192636
"ever20_MI","RA",0.219136325462376,0.193624744314337,0.244647906610415,NA,0.0128913443349861,126.005252746301,2.07313531800498e-34,30,0.000321250509679162,4.14991569889501e-05,0.00321914890414683
"ever20_MI","difference",0.0864980488893447,0.061806387739178,0.111189710039511,NA,0.0124770225491293,125.999828910397,1.9100795477182e-10,30,0.000364153506281125,4.2763413150841e-05,0.00342737323607907
