"analysis","ra","asthma","n","proportion","lower","upper"
"primary",0,0,39847,0.884893893880311,0.879744703882092,0.889850207453251
"primary",0,1,3135,0.0723109139188848,0.0685252700465628,0.0762885653584971
"primary",1,0,2198,0.0361250951737923,0.0337703234289375,0.0386374970067645
"primary",1,1,378,0.00667009710527238,0.00569405062653183,0.00781213819955731
"ever20",0,0,41167,0.828385938585329,0.82311103089058,0.833535358303574
"ever20",0,1,5901,0.127041032002203,0.122802973669474,0.131403440529712
"ever20",1,0,2377,0.0352650797025835,0.0330355717721598,0.0376391960080578
"ever20",1,1,573,0.00930795016864196,0.00810595983652409,0.0106862571018285
